n,matches,backtracking_secs,hashjoin_secs,speedup
16,16,0.000001202,0.000001563,0.769
32,32,0.000002915,0.000003056,0.954
64,64,0.000008356,0.000006181,1.352
128,128,0.000023224,0.000012032,1.930
256,256,0.000074871,0.000024015,3.118
512,512,0.000270317,0.000048050,5.626
1024,1024,0.000985497,0.000097904,10.066
2048,2048,0.003917461,0.000198262,19.759
4096,4096,0.015803944,0.000405870,38.938
8192,8192,0.062682159,0.000872384,71.852
16384,16384,0.250012045,0.001881807,132.857
32768,32768,1.040244966,0.004014393,259.129
